satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,id_employe,age,genre,revenu_mensuel,statut_marital,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion
2,3,2,4,3,3,Non,269,35,F,4425,Célibataire,Consultant,5,6,0,0,5,2,3,Transformation Digitale,Frequent,1
3,3,3,2,3,3,Non,270,42,F,5265,Divorcé(e),Tech Lead,2,5,0,1,5,21,2,Transformation Digitale,Aucun,0
4,3,3,2,3,3,Non,271,38,M,6553,Marié(e),Tech Lead,9,1,0,0,3,2,4,Infra & Cloud,Occasionnel,0
4,3,4,1,1,3,Non,273,38,M,6261,Marié(e),Tech Lead,3,7,0,1,3,29,3,Entrepreunariat,Occasionnel,1
3,2,1,3,3,3,Non,274,27,M,4298,Marié(e),Tech Lead,5,2,0,1,1,1,1,Entrepreunariat,Frequent,2
4,3,4,1,3,3,Oui,275,49,M,6804,Divorcé(e),Tech Lead,1,7,0,2,0,18,4,Infra & Cloud,Aucun,1
4,3,3,4,4,3,Oui,277,34,M,3815,Divorcé(e),Assistant de Direction,1,5,0,1,4,10,4,Transformation Digitale,Frequent,2
3,3,4,3,4,3,Oui,281,40,M,2741,Marié(e),Consultant,8,7,0,1,2,19,2,Transformation Digitale,Occasionnel,3
2,3,1,2,3,3,Oui,282,38,M,6673,Marié(e),Manager,7,1,1,0,2,29,1,Transformation Digitale,Occasionnel,0
2,3,4,4,2,4,Non,283,29,F,7639,Marié(e),Cadre Commercial,1,10,1,3,3,27,3,Marketing,Occasionnel,1
4,4,2,1,2,3,Oui,284,22,M,2328,Divorcé(e),Assistant de Direction,1,4,0,1,2,5,3,Infra & Cloud,Occasionnel,2
2,3,4,1,3,3,Non,286,36,F,2153,Célibataire,Consultant,1,8,0,0,2,18,1,Transformation Digitale,Frequent,1
4,2,4,4,1,3,Non,287,40,M,4876,Marié(e),Manager,9,3,0,1,5,9,5,Infra & Cloud,Aucun,0
4,3,1,3,3,3,Non,288,46,M,9396,Divorcé(e),Manager,7,4,0,1,3,1,4,Transformation Digitale,Occasionnel,0
4,1,4,3,2,3,Non,291,32,M,10400,Marié(e),Cadre Commercial,1,14,1,0,2,4,4,Transformation Digitale,Occasionnel,9
3,2,3,3,3,4,Non,292,30,M,8474,Célibataire,Tech Lead,1,11,0,0,2,1,1,Infra & Cloud,Aucun,5
4,3,3,4,3,3,Non,293,27,F,9981,Célibataire,Cadre Commercial,1,7,0,0,2,20,3,Infra & Cloud,Frequent,0
2,2,2,4,1,3,Non,296,51,M,12490,Marié(e),Directeur Technique,5,10,0,2,5,8,4,Infra & Cloud,Occasionnel,4
4,3,1,3,3,3,Oui,297,30,F,2657,Célibataire,Assistant de Direction,5,5,1,0,5,3,3,Entrepreunariat,Occasionnel,0
4,3,4,3,3,3,Oui,298,41,F,13591,Célibataire,Senior Manager,3,1,0,0,3,6,3,Infra & Cloud,Occasionnel,0
3,2,1,3,2,3,Non,299,30,F,6696,Célibataire,Cadre Commercial,5,6,1,0,5,26,4,Marketing,Frequent,0
3,3,3,4,2,3,Non,300,29,M,2058,Célibataire,Assistant de Direction,0,6,1,0,1,1,3,Entrepreunariat,Occasionnel,1
4,2,4,4,3,3,Non,302,45,F,8865,Célibataire,Cadre Commercial,6,19,0,0,2,6,3,Transformation Digitale,Aucun,12
4,3,1,4,3,3,Non,303,54,F,5940,Marié(e),Cadre Commercial,2,6,0,1,4,3,3,Marketing,Occasionnel,0
4,3,2,4,4,3,Non,304,36,M,5914,Célibataire,Consultant,8,13,0,0,3,5,2,Infra & Cloud,Occasionnel,3
3,2,2,4,3,4,Non,305,33,F,2622,Marié(e),Assistant de Direction,6,3,0,0,3,4,4,Transformation Digitale,Occasionnel,1
2,3,4,3,3,3,Oui,306,37,M,12185,Divorcé(e),Directeur Technique,1,10,0,3,1,11,3,Autre,Frequent,0
1,3,3,3,2,3,Non,307,38,M,10609,Divorcé(e),Cadre Commercial,0,16,0,2,6,3,3,Infra & Cloud,Occasionnel,5
3,1,3,4,3,3,Non,308,31,M,4345,Marié(e),Tech Lead,0,5,0,1,2,1,4,Transformation Digitale,Aucun,1
3,2,4,1,3,3,Non,309,59,M,2177,Marié(e),Assistant de Direction,3,1,0,1,6,3,3,Infra & Cloud,Occasionnel,0
1,3,4,3,3,3,Non,311,37,M,2793,Divorcé(e),Représentant Commercial,4,9,0,1,2,4,4,Marketing,Frequent,5
2,3,4,4,3,3,Non,312,29,F,7918,Marié(e),Cadre Commercial,1,11,0,1,5,1,1,Transformation Digitale,Frequent,4
3,3,3,1,4,3,Non,314,35,F,8789,Célibataire,Cadre Commercial,1,10,0,0,3,1,3,Marketing,Frequent,0
3,2,4,3,2,3,Oui,315,29,M,2389,Célibataire,Assistant de Direction,1,4,1,0,3,18,1,Transformation Digitale,Occasionnel,0
3,2,4,2,2,3,Non,316,52,F,3212,Célibataire,Consultant,7,2,0,0,3,2,3,Infra & Cloud,Occasionnel,2
3,3,4,4,3,3,Non,319,42,M,19232,Marié(e),Senior Manager,1,22,0,0,3,4,2,Entrepreunariat,Occasionnel,11
2,3,3,4,2,3,Non,321,59,M,2267,Marié(e),Ressources Humaines,8,2,0,0,2,6,2,Transformation Digitale,Occasionnel,2
4,3,4,3,2,3,Non,323,50,F,19517,Divorcé(e),Senior Manager,3,7,0,1,3,1,4,Transformation Digitale,Occasionnel,0
3,3,4,3,1,3,Oui,325,33,M,2436,Marié(e),Consultant,5,5,1,1,2,14,3,Transformation Digitale,Occasionnel,0
4,3,4,3,3,4,Oui,327,43,F,16064,Marié(e),Senior Manager,5,17,0,1,3,16,3,Marketing,Occasionnel,1
1,3,1,1,4,4,Non,328,33,F,2707,Marié(e),Consultant,7,9,1,0,3,2,2,Infra & Cloud,Occasionnel,1
1,2,3,4,4,3,Oui,329,52,M,19068,Célibataire,Senior Manager,1,33,0,0,2,2,4,Infra & Cloud,Aucun,15
3,3,2,1,3,3,Non,330,32,F,3931,Marié(e),Représentant Commercial,2,4,0,1,5,4,2,Infra & Cloud,Occasionnel,1
4,2,3,4,1,3,Oui,331,32,M,3730,Célibataire,Consultant,0,3,1,0,2,1,3,Infra & Cloud,Occasionnel,1
3,3,3,3,3,3,Non,332,39,F,2232,Divorcé(e),Consultant,7,3,0,3,1,1,4,Transformation Digitale,Occasionnel,1
3,3,4,1,3,3,Non,333,32,M,4465,Marié(e),Cadre Commercial,0,3,0,0,2,26,4,Marketing,Aucun,2
3,3,1,1,2,3,Non,334,41,M,3072,Divorcé(e),Assistant de Direction,2,1,0,2,2,19,2,Infra & Cloud,Occasionnel,0
1,3,4,1,3,3,Non,335,40,M,3319,Divorcé(e),Assistant de Direction,1,9,0,2,3,24,2,Entrepreunariat,Occasionnel,4
3,4,4,3,3,3,Non,336,45,M,19202,Marié(e),Senior Manager,0,24,0,1,2,1,3,Autre,Occasionnel,1
2,3,3,1,3,3,Non,337,31,M,13675,Divorcé(e),Directeur Technique,9,2,0,1,3,3,4,Transformation Digitale,Frequent,2
3,2,4,3,2,3,Non,338,33,F,2911,Marié(e),Assistant de Direction,1,2,0,1,2,5,4,Infra & Cloud,Occasionnel,0
4,2,1,2,3,3,Non,339,34,M,5957,Marié(e),Tech Lead,6,11,0,1,3,2,4,Infra & Cloud,Occasionnel,5
3,2,1,1,2,3,Non,340,37,F,3920,Marié(e),Assistant de Direction,2,3,0,1,2,1,2,Transformation Digitale,Occasionnel,0
1,4,3,4,3,3,Non,341,45,M,6434,Marié(e),Tech Lead,4,3,0,1,1,7,4,Infra & Cloud,Frequent,0
1,3,3,2,3,3,Non,342,37,M,10048,Divorcé(e),Tech Lead,6,1,1,2,5,10,3,Transformation Digitale,Frequent,0
3,3,3,4,3,4,Non,343,39,F,10938,Célibataire,Manager,0,19,0,0,1,2,4,Entrepreunariat,Frequent,11
3,3,4,1,3,3,Non,346,29,M,2340,Célibataire,Assistant de Direction,1,6,0,0,1,15,3,Infra & Cloud,Occasionnel,1
4,4,1,3,3,3,Oui,347,42,F,6545,Célibataire,Assistant de Direction,3,3,0,0,1,17,2,Infra & Cloud,Occasionnel,0
4,3,4,4,3,3,Non,349,29,M,6931,Divorcé(e),Cadre Commercial,2,3,0,1,2,20,2,Marketing,Occasionnel,0
1,3,3,4,3,3,Non,350,25,F,4898,Marié(e),Tech Lead,0,4,0,2,3,1,3,Infra & Cloud,Occasionnel,1
4,2,1,3,3,3,Oui,351,42,F,2593,Divorcé(e),Consultant,0,9,0,1,4,2,3,Transformation Digitale,Occasionnel,7
1,3,3,4,3,3,Non,352,40,M,19436,Divorcé(e),Directeur Technique,0,21,0,1,5,2,2,Transformation Digitale,Occasionnel,3
3,3,4,2,2,3,Non,353,51,M,2723,Marié(e),Assistant de Direction,1,1,0,0,0,1,3,Infra & Cloud,Occasionnel,0
3,2,2,2,4,3,Non,355,31,M,3479,Célibataire,Consultant,0,5,1,0,2,29,2,Transformation Digitale,Frequent,1
2,4,2,3,1,4,Non,359,32,M,2794,Marié(e),Consultant,1,5,0,0,3,7,3,Infra & Cloud,Frequent,0
4,2,4,4,3,3,Non,361,38,M,5249,Marié(e),Cadre Commercial,3,8,0,1,0,2,2,Infra & Cloud,Aucun,7
4,2,1,4,3,3,Non,362,32,M,2176,Célibataire,Consultant,4,6,0,0,5,2,1,Entrepreunariat,Occasionnel,0
3,1,2,2,2,3,Oui,363,46,F,16872,Marié(e),Senior Manager,3,7,0,1,2,2,3,Entrepreunariat,Occasionnel,7
1,3,3,3,1,3,Non,364,28,M,3485,Célibataire,Consultant,2,0,1,0,5,2,4,Infra & Cloud,Occasionnel,0
1,2,2,2,3,3,Non,366,29,M,6644,Marié(e),Cadre Commercial,2,0,0,2,2,2,3,Transformation Digitale,Occasionnel,0
2,2,4,2,3,4,Non,367,31,M,5582,Marié(e),Manager,0,9,0,1,2,23,3,Transformation Digitale,Occasionnel,7
2,4,1,4,3,3,Non,369,25,M,4000,Divorcé(e),Manager,1,6,0,2,2,5,2,Infra & Cloud,Aucun,1
3,3,4,2,3,3,Oui,372,45,M,13496,Marié(e),Manager,0,20,0,0,2,20,2,Transformation Digitale,Occasionnel,4
4,3,4,3,3,3,Non,373,36,M,3210,Marié(e),Consultant,0,15,0,1,4,6,3,Infra & Cloud,Occasionnel,10
4,3,1,3,3,3,Oui,374,55,M,19045,Célibataire,Senior Manager,0,36,0,0,2,1,3,Transformation Digitale,Occasionnel,4
1,3,2,4,2,3,Oui,376,47,M,11849,Marié(e),Senior Manager,1,10,1,1,2,29,4,Infra & Cloud,Aucun,9
4,3,4,4,2,4,Non,377,28,M,2070,Marié(e),Assistant de Direction,1,5,0,1,3,9,3,Transformation Digitale,Occasionnel,0
3,3,4,2,4,3,Non,378,37,M,6502,Marié(e),Cadre Commercial,4,5,0,1,5,6,4,Transformation Digitale,Occasionnel,0
4,2,3,1,4,3,Non,379,21,M,3230,Célibataire,Assistant de Direction,1,3,0,0,4,3,2,Transformation Digitale,Occasionnel,1
1,3,4,1,3,3,Oui,380,37,F,13603,Divorcé(e),Directeur Technique,2,5,0,2,2,1,4,Transformation Digitale,Aucun,0
2,4,2,2,2,3,Non,381,35,F,11996,Divorcé(e),Senior Manager,7,7,0,1,6,22,3,Infra & Cloud,Occasionnel,6
1,4,1,3,3,4,Oui,382,38,F,5605,Divorcé(e),Cadre Commercial,1,8,0,1,3,7,2,Transformation Digitale,Occasionnel,7
3,3,2,1,1,4,Non,384,26,F,6397,Divorcé(e),Tech Lead,1,6,0,1,6,1,3,Infra & Cloud,Frequent,1
1,3,2,1,2,3,Non,385,50,M,19144,Divorcé(e),Directeur Technique,3,10,0,2,4,4,1,Infra & Cloud,Occasionnel,1
3,3,3,4,2,3,Oui,386,53,M,17584,Marié(e),Directeur Technique,3,5,0,3,5,3,4,Transformation Digitale,Occasionnel,1
2,3,3,3,3,4,Non,387,42,M,4907,Marié(e),Cadre Commercial,1,20,0,0,3,1,1,Infra & Cloud,Occasionnel,11
2,3,4,1,2,3,Non,388,29,M,4554,Célibataire,Cadre Commercial,1,10,0,0,3,2,2,Infra & Cloud,Frequent,0
2,3,4,4,3,3,Oui,389,55,M,5415,Marié(e),Consultant,3,10,0,1,4,20,2,Entrepreunariat,Occasionnel,0
1,3,1,3,3,3,Oui,390,26,M,4741,Marié(e),Manager,1,5,0,1,3,11,2,Transformation Digitale,Frequent,3
4,3,4,2,3,3,Non,391,37,F,2115,Célibataire,Assistant de Direction,1,17,0,0,3,1,3,Infra & Cloud,Occasionnel,5
4,3,3,4,1,4,Oui,392,44,M,3161,Divorcé(e),Consultant,3,1,1,1,0,24,3,Infra & Cloud,Frequent,0
4,3,4,2,3,3,Non,393,38,M,5745,Divorcé(e),Manager,9,2,0,1,2,23,4,Infra & Cloud,Occasionnel,1
1,3,2,4,3,3,Oui,394,26,M,2373,Divorcé(e),Consultant,2,3,1,1,2,16,4,Transformation Digitale,Occasionnel,0
4,3,4,4,3,4,Non,395,28,F,3310,Célibataire,Assistant de Direction,1,5,0,0,3,8,2,Infra & Cloud,Occasionnel,0
3,3,1,4,3,3,Oui,396,49,F,18665,Célibataire,Directeur Technique,9,3,0,0,4,10,4,Infra & Cloud,Frequent,1
3,3,2,4,3,3,Non,397,36,M,4485,Célibataire,Assistant de Direction,4,8,0,0,2,3,3,Entrepreunariat,Occasionnel,7
4,3,2,3,2,3,Non,399,31,F,2789,Divorcé(e),Représentant Commercial,1,2,0,1,5,5,3,Marketing,Frequent,2
4,2,4,2,3,3,Oui,401,26,M,5828,Célibataire,Cadre Commercial,1,8,1,0,0,4,4,Marketing,Occasionnel,7
2,3,4,3,2,3,Oui,403,37,M,2326,Marié(e),Assistant de Direction,1,4,0,3,3,9,3,Transformation Digitale,Frequent,1
3,3,2,4,4,3,Non,404,42,F,13525,Marié(e),Cadre Commercial,5,20,0,1,2,26,3,Marketing,Frequent,4
3,3,3,3,3,3,Non,405,18,M,1420,Célibataire,Consultant,1,0,1,0,2,3,3,Infra & Cloud,Occasionnel,0
3,3,2,3,2,3,Non,406,35,M,8020,Marié(e),Cadre Commercial,0,11,0,2,3,16,3,Marketing,Occasionnel,6
3,4,4,4,3,3,Non,407,36,M,3688,Marié(e),Consultant,4,1,0,2,2,18,4,Infra & Cloud,Frequent,0
4,1,2,4,3,3,Non,408,51,M,5482,Divorcé(e),Tech Lead,5,4,0,1,3,2,3,Transformation Digitale,Occasionnel,1
4,3,2,2,3,3,Non,410,41,M,16015,Célibataire,Senior Manager,1,22,0,0,2,2,4,Infra & Cloud,Occasionnel,0
4,2,3,1,3,3,Non,411,18,F,1200,Célibataire,Représentant Commercial,1,0,0,0,2,10,3,Transformation Digitale,Occasionnel,0
2,4,1,3,3,3,Non,412,28,M,5661,Célibataire,Manager,0,8,0,0,2,16,2,Transformation Digitale,Occasionnel,0
2,4,4,2,2,3,Non,416,31,M,6929,Marié(e),Cadre Commercial,4,8,0,1,3,7,3,Entrepreunariat,Occasionnel,7
3,4,4,1,2,3,Non,417,39,M,9613,Divorcé(e),Manager,0,18,0,3,5,1,3,Transformation Digitale,Occasionnel,3
2,3,2,3,3,3,Non,419,36,F,5674,Marié(e),Consultant,7,9,0,1,3,24,4,Infra & Cloud,Aucun,0
4,2,3,3,2,3,Non,420,32,M,5484,Marié(e),Cadre Commercial,1,13,0,1,3,7,3,Infra & Cloud,Occasionnel,4
1,2,2,3,3,3,Non,421,38,F,12061,Marié(e),Directeur Technique,3,10,0,1,2,25,2,Infra & Cloud,Occasionnel,0
4,1,3,4,3,3,Oui,422,58,M,5660,Divorcé(e),Manager,2,5,0,1,2,1,4,Infra & Cloud,Aucun,1
3,3,4,3,3,3,Oui,423,31,M,4821,Marié(e),Assistant de Direction,0,5,0,1,4,5,4,Entrepreunariat,Occasionnel,0
1,2,1,4,3,3,Non,424,31,M,6410,Marié(e),Ressources Humaines,3,2,0,0,1,2,3,Ressources Humaines,Occasionnel,1
1,3,1,1,3,3,Non,425,45,M,5210,Divorcé(e),Consultant,1,24,0,1,2,7,3,Infra & Cloud,Frequent,9
3,3,4,2,1,3,Oui,426,31,M,2695,Divorcé(e),Assistant de Direction,0,2,0,1,2,2,4,Infra & Cloud,Occasionnel,2
4,3,2,2,3,3,Non,428,33,F,11878,Marié(e),Senior Manager,6,10,0,2,2,5,4,Infra & Cloud,Frequent,8
3,3,1,4,3,3,Oui,429,39,M,17068,Marié(e),Senior Manager,1,21,0,0,3,10,1,Transformation Digitale,Occasionnel,11
3,3,4,1,3,3,Non,430,43,F,2455,Célibataire,Consultant,0,8,0,0,5,10,4,Infra & Cloud,Frequent,1
3,2,3,4,3,3,Oui,431,49,F,13964,Célibataire,Manager,7,7,0,0,2,1,2,Entrepreunariat,Occasionnel,0
3,2,2,1,2,3,Non,433,52,M,4941,Marié(e),Assistant de Direction,2,8,1,0,3,8,4,Transformation Digitale,Occasionnel,7
3,3,2,2,2,3,Oui,434,27,F,2478,Célibataire,Assistant de Direction,1,4,0,0,2,5,3,Infra & Cloud,Occasionnel,1
3,2,2,4,3,3,Oui,436,32,F,5228,Marié(e),Cadre Commercial,1,13,0,0,2,8,2,Entrepreunariat,Occasionnel,11
4,3,3,1,3,3,Oui,437,27,M,4478,Célibataire,Cadre Commercial,1,5,0,0,3,2,3,Infra & Cloud,Occasionnel,0
4,3,4,4,3,3,Non,438,31,M,7547,Divorcé(e),Cadre Commercial,4,7,0,3,3,7,3,Marketing,Occasionnel,1
1,4,4,3,2,3,Non,439,32,F,5055,Célibataire,Assistant de Direction,7,7,0,0,0,2,4,Transformation Digitale,Occasionnel,0
1,1,4,4,2,3,Oui,440,28,M,3464,Marié(e),Assistant de Direction,5,3,1,0,4,2,4,Transformation Digitale,Occasionnel,2
4,3,4,4,3,3,Non,441,30,F,5775,Marié(e),Assistant de Direction,1,10,0,2,2,28,2,Transformation Digitale,Occasionnel,1
3,2,3,1,3,4,Non,442,31,F,8943,Marié(e),Tech Lead,1,10,0,1,2,7,2,Infra & Cloud,Frequent,8
3,2,4,1,3,3,Non,444,39,M,19272,Marié(e),Senior Manager,1,21,0,1,2,7,2,Transformation Digitale,Frequent,13
4,3,3,1,2,3,Oui,445,39,F,5238,Marié(e),Cadre Commercial,4,1,1,0,3,3,2,Transformation Digitale,Occasionnel,0
2,2,4,3,2,3,Non,446,33,M,4682,Célibataire,Cadre Commercial,3,7,0,0,6,10,3,Marketing,Frequent,0
4,3,3,2,3,3,Non,447,47,M,18300,Marié(e),Directeur Technique,4,3,0,1,2,5,5,Infra & Cloud,Occasionnel,1
3,2,3,2,4,3,Non,448,43,F,5257,Divorcé(e),Consultant,1,9,0,1,3,10,4,Infra & Cloud,Frequent,0
3,3,2,4,3,3,Oui,449,27,M,6349,Marié(e),Cadre Commercial,0,5,0,1,0,1,1,Marketing,Aucun,1
4,3,3,4,2,3,Non,450,54,F,4869,Célibataire,Assistant de Direction,3,4,0,0,4,20,4,Infra & Cloud,Frequent,0
3,3,1,1,2,3,Non,451,43,F,9985,Marié(e),Manager,8,1,0,1,1,7,3,Infra & Cloud,Occasionnel,0
4,3,4,1,3,3,Non,452,45,M,3697,Marié(e),Assistant de Direction,9,10,0,2,3,8,4,Autre,Occasionnel,9
2,1,4,3,2,4,Oui,453,40,M,7457,Marié(e),Cadre Commercial,2,4,0,3,2,1,2,Transformation Digitale,Occasionnel,0
2,1,1,4,2,3,Oui,454,29,M,2119,Marié(e),Consultant,1,7,1,0,4,8,4,Autre,Occasionnel,0
2,2,4,3,3,3,Non,455,29,M,3983,Célibataire,Consultant,0,3,0,0,2,9,5,Autre,Occasionnel,2
4,2,3,3,3,3,Non,456,30,F,6118,Divorcé(e),Cadre Commercial,1,10,0,3,2,5,3,Marketing,Occasionnel,1
2,3,2,1,3,3,Non,458,27,F,6214,Marié(e),Cadre Commercial,1,8,0,1,3,8,4,Marketing,Occasionnel,0
4,3,4,3,2,3,Non,460,37,M,6347,Divorcé(e),Tech Lead,7,6,0,2,2,5,2,Transformation Digitale,Occasionnel,0
3,2,4,2,3,3,Oui,461,38,M,11510,Divorcé(e),Directeur Technique,0,11,0,1,3,15,2,Infra & Cloud,Occasionnel,2
3,3,4,3,2,3,Oui,462,31,F,7143,Célibataire,Tech Lead,1,11,0,0,2,7,4,Transformation Digitale,Occasionnel,4
4,2,2,1,3,3,Oui,463,29,F,8268,Divorcé(e),Cadre Commercial,1,7,0,2,2,10,1,Marketing,Occasionnel,1
3,3,2,4,3,3,Non,464,35,M,8095,Célibataire,Tech Lead,0,16,0,0,5,5,4,Entrepreunariat,Occasionnel,0
3,3,4,3,2,3,Non,465,23,M,2904,Divorcé(e),Assistant de Direction,1,4,0,2,2,26,1,Infra & Cloud,Occasionnel,0
4,2,2,4,3,3,Oui,466,41,M,6032,Célibataire,Tech Lead,6,5,0,0,3,6,3,Transformation Digitale,Occasionnel,1
2,3,3,1,3,3,Non,467,47,M,2976,Célibataire,Représentant Commercial,3,0,0,0,3,4,1,Transformation Digitale,Frequent,0
1,3,4,2,3,3,Non,468,42,F,15992,Célibataire,Directeur Technique,2,1,0,0,2,23,5,Infra & Cloud,Occasionnel,0
4,3,3,1,2,3,Non,469,29,M,4649,Marié(e),Cadre Commercial,1,4,0,1,3,2,3,Infra & Cloud,Aucun,0
3,3,3,3,3,3,Oui,470,42,M,2696,Divorcé(e),Ressources Humaines,0,3,0,1,5,2,1,Entrepreunariat,Occasionnel,1
3,3,2,3,3,3,Non,471,32,F,2370,Marié(e),Consultant,1,8,0,1,4,2,3,Transformation Digitale,Occasionnel,0
1,3,3,2,1,4,Non,473,48,F,12504,Marié(e),Senior Manager,3,0,0,1,3,29,1,Transformation Digitale,Occasionnel,0
3,4,1,1,3,3,Oui,474,37,M,5974,Divorcé(e),Assistant de Direction,4,7,0,2,2,6,3,Transformation Digitale,Occasionnel,6
4,3,3,2,4,3,Oui,475,30,F,4736,Marié(e),Cadre Commercial,7,2,0,1,2,25,2,Entrepreunariat,Aucun,2
3,3,3,2,3,3,Non,476,26,M,5296,Marié(e),Cadre Commercial,1,8,0,1,3,1,3,Infra & Cloud,Occasionnel,7
1,2,4,2,3,4,Non,477,42,M,6781,Célibataire,Manager,3,1,0,0,6,2,4,Autre,Occasionnel,0
1,2,2,3,3,3,Oui,478,21,F,2174,Célibataire,Représentant Commercial,1,3,1,0,3,1,1,Entrepreunariat,Frequent,1
4,3,4,2,3,3,Non,479,36,F,6653,Célibataire,Cadre Commercial,4,1,0,0,6,1,5,Transformation Digitale,Aucun,0
1,2,4,1,3,3,Non,481,36,M,9699,Marié(e),Cadre Commercial,4,13,0,1,2,3,4,Transformation Digitale,Frequent,1
4,3,3,3,3,3,Non,482,57,M,6755,Marié(e),Manager,2,3,0,0,2,1,4,Transformation Digitale,Occasionnel,1
4,4,3,3,3,3,Oui,483,40,F,2213,Marié(e),Consultant,3,7,0,1,3,10,4,Infra & Cloud,Occasionnel,1
1,3,4,3,2,4,Non,484,21,M,2610,Célibataire,Représentant Commercial,1,3,0,0,3,9,2,Transformation Digitale,Aucun,2
4,3,3,2,3,3,Oui,485,33,F,2851,Célibataire,Représentant Commercial,1,1,1,0,2,5,3,Marketing,Occasionnel,0
3,3,1,2,3,4,Non,486,37,F,3452,Marié(e),Consultant,6,5,0,1,3,10,3,Transformation Digitale,Occasionnel,0
3,3,3,3,4,3,Non,487,46,F,5258,Marié(e),Tech Lead,2,1,0,0,2,7,4,Transformation Digitale,Aucun,0
1,3,2,3,3,3,Non,488,41,M,9355,Célibataire,Cadre Commercial,1,8,1,0,5,4,3,Marketing,Frequent,7
4,2,4,4,3,3,Non,491,50,M,10496,Célibataire,Manager,6,4,0,0,2,10,3,Entrepreunariat,Occasionnel,1
3,2,3,1,3,3,Oui,492,40,M,6380,Marié(e),Cadre Commercial,2,6,1,2,6,22,2,Marketing,Occasionnel,1
3,2,2,4,3,3,Oui,493,31,M,2657,Célibataire,Assistant de Direction,0,2,0,0,5,9,4,Infra & Cloud,Occasionnel,2
3,4,2,4,3,3,Non,494,21,F,2716,Célibataire,Représentant Commercial,1,1,1,0,0,12,3,Infra & Cloud,Occasionnel,0
4,3,4,4,3,3,Non,495,29,M,2201,Célibataire,Assistant de Direction,9,3,0,0,4,23,3,Infra & Cloud,Occasionnel,1
3,2,2,3,3,3,Non,496,35,M,6540,Célibataire,Manager,9,1,0,0,5,9,4,Infra & Cloud,Occasionnel,0
4,3,2,2,3,3,Non,497,27,M,3816,Divorcé(e),Consultant,1,5,0,1,2,1,2,Transformation Digitale,Occasionnel,0
2,3,4,4,3,3,Non,498,28,M,5253,Célibataire,Cadre Commercial,1,7,0,0,1,9,4,Infra & Cloud,Occasionnel,0
2,2,3,3,3,4,Non,499,49,M,10965,Célibataire,Manager,8,5,0,0,2,7,3,Autre,Occasionnel,0
3,3,4,3,2,3,Non,500,51,F,4936,Marié(e),Cadre Commercial,4,7,0,1,2,14,2,Infra & Cloud,Occasionnel,0
4,3,3,2,3,3,Non,501,36,F,2543,Marié(e),Assistant de Direction,4,2,0,1,3,2,3,Infra & Cloud,Occasionnel,2
1,4,4,2,2,3,Oui,502,34,M,5304,Célibataire,Cadre Commercial,8,5,1,0,3,19,3,Marketing,Aucun,0
3,3,4,3,3,3,Oui,505,55,F,16659,Célibataire,Senior Manager,2,5,0,0,2,2,3,Infra & Cloud,Occasionnel,1
4,3,3,4,4,3,Oui,507,24,F,4260,Divorcé(e),Cadre Commercial,1,5,0,1,2,10,4,Marketing,Occasionnel,0
3,3,2,1,3,3,Non,508,30,M,2476,Marié(e),Représentant Commercial,1,1,0,1,3,2,1,Entrepreunariat,Occasionnel,0
3,3,1,3,3,4,Non,510,26,M,3102,Célibataire,Assistant de Direction,0,6,1,0,2,3,1,Entrepreunariat,Frequent,0
1,3,2,4,3,3,Non,511,22,F,2244,Marié(e),Assistant de Direction,1,2,0,1,1,11,3,Transformation Digitale,Occasionnel,1
2,2,3,2,3,3,Non,513,36,M,7596,Marié(e),Cadre Commercial,1,10,0,2,2,2,2,Transformation Digitale,Occasionnel,9
3,3,4,3,3,4,Oui,514,30,M,2285,Célibataire,Assistant de Direction,9,1,1,0,4,4,3,Entrepreunariat,Frequent,0
4,3,1,3,2,3,Non,515,37,F,3034,Divorcé(e),Consultant,1,18,0,1,2,14,3,Infra & Cloud,Occasionnel,12
4,3,2,3,3,3,Non,516,40,F,5715,Divorcé(e),Cadre Commercial,7,5,0,2,5,2,2,Marketing,Occasionnel,1
2,3,1,2,3,3,Non,517,42,F,2576,Divorcé(e),Consultant,3,5,0,1,5,1,4,Infra & Cloud,Occasionnel,1
3,3,2,4,2,3,Oui,518,37,M,4197,Célibataire,Tech Lead,2,1,0,0,2,10,4,Infra & Cloud,Occasionnel,0
1,2,2,3,3,3,Non,520,43,M,14336,Divorcé(e),Directeur Technique,1,25,0,1,3,12,3,Infra & Cloud,Occasionnel,3
2,2,3,2,3,4,Non,521,40,F,3448,Marié(e),Consultant,6,1,0,1,3,2,3,Transformation Digitale,Occasionnel,0
1,3,1,3,2,3,Non,522,54,M,19406,Marié(e),Directeur Technique,4,4,0,1,4,5,2,Transformation Digitale,Occasionnel,1
3,3,3,1,3,3,Non,523,34,F,6538,Marié(e),Cadre Commercial,9,3,0,1,3,4,4,Marketing,Aucun,1
2,3,1,2,1,3,Non,524,31,F,4306,Marié(e),Tech Lead,1,13,0,1,5,7,2,Transformation Digitale,Occasionnel,3
